target,fp type,fp size,"AUC Score (mean, std)","Best molecule (25, median, 75)","Top 10 average (25, median, 75)"
ESR2,exact,,"(0.973, 0.004)","(array([ -8.5,  -8.5,  -9.6, ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -8.5,  -9.9, ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -9.6, -10. , ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.61, ..., -11.83, -11.83, -11.83], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.64, ..., -11.86, -11.86, -11.86], shape=(1001,)), array([ -8.5 ,  -8.61,  -8.65, ..., -11.94, -11.94, -11.94], shape=(1001,)))"
ESR2,compressed,1024.0,"(0.965, 0.015)","(array([ -8.5,  -8.5,  -8.5, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -8.8, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -9.4, ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.5 , ..., -11.77, -11.77, -11.77], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.53, ..., -11.79, -11.79, -11.79], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.63, ..., -11.83, -11.83, -11.83], shape=(1001,)))"
ESR2,compressed,2048.0,"(0.952, 0.013)","(array([ -8.5,  -8.5,  -9.2, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -9.2,  -9.2, ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -9.6,  -9.6, ..., -12. , -12. , -12. ], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.57, ..., -11.75, -11.75, -11.75], shape=(1001,)), array([ -8.5 ,  -8.57,  -8.6 , ..., -11.75, -11.75, -11.75], shape=(1001,)), array([ -8.5 ,  -8.61,  -8.66, ..., -11.76, -11.76, -11.76], shape=(1001,)))"
ESR2,sort&slice,1024.0,"(0.968, 0.013)","(array([ -8.5,  -8.5,  -9. , ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -9.5, ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -9. ,  -9.6, ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.55, ..., -11.76, -11.76, -11.76], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.62, ..., -11.83, -11.83, -11.83], shape=(1001,)), array([ -8.5 ,  -8.55,  -8.63, ..., -11.98, -11.98, -11.98], shape=(1001,)))"
ESR2,sort&slice,2048.0,"(0.972, 0.006)","(array([ -8.5,  -8.5,  -9. , ..., -12. , -12. , -12. ], shape=(1001,)), array([ -8.5,  -8.5,  -9. , ..., -12.3, -12.3, -12.3], shape=(1001,)), array([ -8.5,  -9.4,  -9.4, ..., -12.3, -12.3, -12.3], shape=(1001,)))","(array([ -8.5 ,  -8.5 ,  -8.55, ..., -11.76, -11.76, -11.76], shape=(1001,)), array([ -8.5 ,  -8.5 ,  -8.55, ..., -11.78, -11.78, -11.78], shape=(1001,)), array([ -8.5 ,  -8.59,  -8.66, ..., -11.84, -11.84, -11.84], shape=(1001,)))"
F2,exact,,"(0.986, 0.004)","(array([ -9. , -10.2, -10.4, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. , -10.4, -10.8, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.8, -11.1, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.12,  -9.23, ..., -11.96, -11.96, -11.96], shape=(1001,)), array([ -9.  ,  -9.14,  -9.3 , ..., -11.97, -11.97, -11.97], shape=(1001,)), array([ -9.  ,  -9.18,  -9.33, ..., -11.98, -11.98, -11.98], shape=(1001,)))"
F2,compressed,1024.0,"(0.989, 0.004)","(array([ -9. ,  -9.7,  -9.9, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. ,  -9.9, -10. , ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. ,  -9.9, -10.1, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.07,  -9.15, ..., -11.92, -11.92, -11.92], shape=(1001,)), array([ -9.  ,  -9.09,  -9.17, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.09,  -9.17, ..., -11.94, -11.94, -11.94], shape=(1001,)))"
F2,compressed,2048.0,"(0.989, 0.004)","(array([ -9. ,  -9.7, -10. , ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.3, -10.3, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.3, -10.8, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.07,  -9.17, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.13,  -9.25, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.13,  -9.3 , ..., -11.93, -11.93, -11.93], shape=(1001,)))"
F2,sort&slice,1024.0,"(0.983, 0.005)","(array([ -9. ,  -9.9, -10.5, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. , -10.5, -10.6, ..., -12.1, -12.1, -12.1], shape=(1001,)), array([ -9. , -10.9, -10.9, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.09,  -9.22, ..., -11.91, -11.91, -11.91], shape=(1001,)), array([ -9.  ,  -9.15,  -9.23, ..., -11.93, -11.93, -11.93], shape=(1001,)), array([ -9.  ,  -9.19,  -9.25, ..., -11.94, -11.94, -11.94], shape=(1001,)))"
F2,sort&slice,2048.0,"(0.988, 0.004)","(array([ -9. ,  -9.9, -10.5, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10. , -10.5, ..., -12.2, -12.2, -12.2], shape=(1001,)), array([ -9. , -10.5, -10.6, ..., -12.2, -12.2, -12.2], shape=(1001,)))","(array([ -9.  ,  -9.09,  -9.19, ..., -11.96, -11.96, -11.96], shape=(1001,)), array([ -9.  ,  -9.1 ,  -9.22, ..., -11.96, -11.96, -11.96], shape=(1001,)), array([ -9.  ,  -9.15,  -9.23, ..., -11.96, -11.96, -11.96], shape=(1001,)))"
KIT,exact,,"(0.996, 0.007)","(array([ -8.9, -10.2, -10.3, ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9, -10.5, -10.5, ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9, -11. , -11. , ..., -12.9, -12.9, -12.9], shape=(1001,)))","(array([ -8.9 ,  -9.03,  -9.14, ..., -12.61, -12.61, -12.61], shape=(1001,)), array([ -8.9 ,  -9.06,  -9.16, ..., -12.62, -12.62, -12.62], shape=(1001,)), array([ -8.9 ,  -9.11,  -9.2 , ..., -12.62, -12.62, -12.62], shape=(1001,)))"
KIT,compressed,1024.0,"(0.996, 0.01)","(array([ -8.9,  -9.9, -10. , ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9, -10. , -10.1, ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9, -10.2, -10.2, ..., -12.9, -12.9, -12.9], shape=(1001,)))","(array([ -8.9 ,  -9.  ,  -9.06, ..., -12.51, -12.57, -12.6 ], shape=(1001,)), array([ -8.9 ,  -9.01,  -9.1 , ..., -12.62, -12.62, -12.62], shape=(1001,)), array([ -8.9 ,  -9.03,  -9.11, ..., -12.62, -12.62, -12.62], shape=(1001,)))"
KIT,compressed,2048.0,"(0.995, 0.005)","(array([ -8.9,  -9.6, -10.3, ..., -12.7, -12.7, -12.7], shape=(1001,)), array([ -8.9, -10.2, -10.8, ..., -12.7, -12.7, -12.7], shape=(1001,)), array([ -8.9, -10.8, -10.8, ..., -12.7, -12.7, -12.7], shape=(1001,)))","(array([ -8.9 ,  -8.97,  -9.11, ..., -12.35, -12.35, -12.35], shape=(1001,)), array([ -8.9 ,  -9.03,  -9.12, ..., -12.35, -12.35, -12.35], shape=(1001,)), array([ -8.9 ,  -9.09,  -9.22, ..., -12.35, -12.35, -12.35], shape=(1001,)))"
KIT,sort&slice,1024.0,"(1.001, 0.005)","(array([ -8.9,  -9.3, -10.1, ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9,  -9.8, -10.7, ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9,  -9.9, -10.8, ..., -12.9, -12.9, -12.9], shape=(1001,)))","(array([ -8.9 ,  -8.94,  -9.11, ..., -12.61, -12.61, -12.61], shape=(1001,)), array([ -8.9 ,  -8.99,  -9.12, ..., -12.61, -12.61, -12.61], shape=(1001,)), array([ -8.9 ,  -9.  ,  -9.18, ..., -12.61, -12.61, -12.61], shape=(1001,)))"
KIT,sort&slice,2048.0,"(1.004, 0.006)","(array([ -8.9,  -9.6,  -9.6, ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9,  -9.9, -10.7, ..., -12.9, -12.9, -12.9], shape=(1001,)), array([ -8.9,  -9.9, -10.8, ..., -12.9, -12.9, -12.9], shape=(1001,)))","(array([ -8.9 ,  -8.97,  -9.03, ..., -12.61, -12.61, -12.61], shape=(1001,)), array([ -8.9 ,  -9.  ,  -9.18, ..., -12.61, -12.61, -12.61], shape=(1001,)), array([ -8.9 ,  -9.  ,  -9.19, ..., -12.61, -12.61, -12.61], shape=(1001,)))"
PARP1,exact,,"(1.04, 0.005)","(array([-10.2, -12.7, -12.7, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -12.7, -13.2, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -13.4, -13.4, ..., -15.2, -15.2, -15.2], shape=(1001,)))","(array([-10.2 , -10.45, -10.66, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.45, -10.75, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.52, -10.78, ..., -14.24, -14.24, -14.24], shape=(1001,)))"
PARP1,compressed,1024.0,"(1.037, 0.003)","(array([-10.2, -11.8, -12.7, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -12.7, -12.7, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -13.4, -13.4, ..., -15.2, -15.2, -15.2], shape=(1001,)))","(array([-10.2 , -10.36, -10.61, ..., -14.23, -14.23, -14.23], shape=(1001,)), array([-10.2 , -10.45, -10.66, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.52, -10.78, ..., -14.31, -14.31, -14.31], shape=(1001,)))"
PARP1,compressed,2048.0,"(1.045, 0.002)","(array([-10.2, -12.7, -12.7, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -12.7, -13.2, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -13.4, -13.4, ..., -15.2, -15.2, -15.2], shape=(1001,)))","(array([-10.2 , -10.45, -10.66, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.45, -10.75, ..., -14.31, -14.31, -14.31], shape=(1001,)), array([-10.2 , -10.52, -10.78, ..., -14.31, -14.31, -14.31], shape=(1001,)))"
PARP1,sort&slice,1024.0,"(1.046, 0.002)","(array([-10.2, -11.4, -12.7, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -12.3, -12.8, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -12.7, -12.8, ..., -15.2, -15.2, -15.2], shape=(1001,)))","(array([-10.2 , -10.32, -10.46, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.41, -10.66, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.45, -10.68, ..., -14.24, -14.24, -14.24], shape=(1001,)))"
PARP1,sort&slice,2048.0,"(1.046, 0.006)","(array([-10.2, -11.4, -12.8, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -12.7, -13.2, ..., -15.2, -15.2, -15.2], shape=(1001,)), array([-10.2, -12.7, -13.2, ..., -15.2, -15.2, -15.2], shape=(1001,)))","(array([-10.2 , -10.32, -10.46, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.45, -10.75, ..., -14.24, -14.24, -14.24], shape=(1001,)), array([-10.2 , -10.45, -10.75, ..., -14.24, -14.24, -14.24], shape=(1001,)))"
PGR,exact,,"(0.972, 0.026)","(array([ -8.3,  -8.3,  -8.5, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.3,  -9.3, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.4,  -9.6, ..., -11.8, -11.8, -11.8], shape=(1001,)))","(array([ -8.3 ,  -8.3 ,  -8.32, ..., -11.08, -11.09, -11.09], shape=(1001,)), array([ -8.3 ,  -8.3 ,  -8.4 , ..., -11.22, -11.22, -11.22], shape=(1001,)), array([ -8.3 ,  -8.31,  -8.45, ..., -11.24, -11.24, -11.24], shape=(1001,)))"
PGR,compressed,1024.0,"(0.982, 0.04)","(array([ -8.3,  -8.3,  -8.3, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.3,  -8.3, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.3,  -9.1, ..., -11.8, -11.8, -11.8], shape=(1001,)))","(array([ -8.3 ,  -8.3 ,  -8.3 , ..., -11.18, -11.18, -11.18], shape=(1001,)), array([ -8.3 ,  -8.3 ,  -8.3 , ..., -11.29, -11.29, -11.29], shape=(1001,)), array([ -8.3 ,  -8.3 ,  -8.38, ..., -11.29, -11.29, -11.29], shape=(1001,)))"
PGR,compressed,2048.0,"(0.968, 0.031)","(array([ -8.3,  -8.3,  -8.4, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.9,  -8.9, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.9,  -9.2, ..., -11.8, -11.8, -11.8], shape=(1001,)))","(array([ -8.3 ,  -8.3 ,  -8.31, ..., -11.06, -11.06, -11.06], shape=(1001,)), array([ -8.3 ,  -8.36,  -8.42, ..., -11.19, -11.19, -11.19], shape=(1001,)), array([ -8.3 ,  -8.36,  -8.47, ..., -11.21, -11.21, -11.21], shape=(1001,)))"
PGR,sort&slice,1024.0,"(0.98, 0.024)","(array([ -8.3,  -8.3,  -8.7, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.4,  -9. , ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -8.4,  -9.1, ..., -11.8, -11.8, -11.8], shape=(1001,)))","(array([ -8.3 ,  -8.3 ,  -8.35, ..., -11.15, -11.15, -11.15], shape=(1001,)), array([ -8.3 ,  -8.31,  -8.37, ..., -11.23, -11.23, -11.23], shape=(1001,)), array([ -8.3 ,  -8.31,  -8.38, ..., -11.26, -11.26, -11.26], shape=(1001,)))"
PGR,sort&slice,2048.0,"(1.006, 0.0)","(array([ -8.3,  -9.3,  -9.4, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -9.3,  -9.4, ..., -11.8, -11.8, -11.8], shape=(1001,)), array([ -8.3,  -9.3,  -9.4, ..., -11.8, -11.8, -11.8], shape=(1001,)))","(array([ -8.3 ,  -8.4 ,  -8.51, ..., -11.29, -11.29, -11.29], shape=(1001,)), array([ -8.3 ,  -8.4 ,  -8.51, ..., -11.29, -11.29, -11.29], shape=(1001,)), array([ -8.3 ,  -8.4 ,  -8.51, ..., -11.29, -11.29, -11.29], shape=(1001,)))"
